siteid,plotid,year,date,flow,dwm,precip_on_site
AUGLA,West,2008,2008-02-23,6.918979463,FD,1.27
AUGLA,West,2008,2008-02-24,6.912414282,FD,0
AUGLA,West,2008,2008-02-25,6.917057946,FD,0
AUGLA,West,2008,2008-02-26,6.91033264,FD,7.112
AUGLA,West,2008,2008-02-27,6.937233866,FD,0
AUGLA,West,2008,2008-02-28,6.891461588,FD,0.762
AUGLA,West,2008,2008-02-29,6.906383094,FD,4.064
AUGLA,West,2008,2008-03-01,6.917538326,FD,0
AUGLA,West,2008,2008-03-02,6.917378199,FD,0
AUGLA,West,2008,2008-03-03,6.912254156,FD,18.034
AUGLA,West,2008,2008-03-04,6.920020284,FD,30.48
AUGLA,West,2008,2008-03-05,6.993438215,FD,11.938
AUGLA,West,2008,2008-03-06,6.829709023,FD,13.716
AUGLA,West,2008,2008-03-07,6.916577567,FD,0
AUGLA,West,2008,2008-03-08,6.916657631,FD,0
AUGLA,West,2008,2008-03-09,6.917218073,FD,1.524
AUGLA,West,2008,2008-03-10,6.927145906,FD,2.032
AUGLA,West,2008,2008-03-11,6.8936795,FD,0.254
AUGLA,West,2008,2008-03-12,6.916817757,FD,0
AUGLA,West,2008,2008-03-13,6.926025022,FD,0
AUGLA,West,2008,2008-03-14,6.90328708,FD,9.906
AUGLA,West,2008,2008-03-15,6.913294977,FD,0.762
AUGLA,West,2008,2008-03-16,6.914896241,FD,0
AUGLA,West,2008,2008-03-17,6.909932324,FD,2.286
AUGLA,West,2008,2008-03-18,6.921781674,FD,13.208
AUGLA,West,2008,2008-03-19,6.909852261,FD,32.512
AUGLA,West,2008,2008-03-20,6.916657631,FD,0.254
AUGLA,West,2008,2008-03-21,6.927866475,FD,0
AUGLA,West,2008,2008-03-22,6.898002911,FD,0.254
AUGLA,West,2008,2008-03-23,6.971661031,FD,0
AUGLA,West,2008,2008-03-24,6.861494103,FD,0.254
AUGLA,West,2008,2008-03-25,6.937634182,FD,0.508
AUGLA,West,2008,2008-03-26,6.908411124,FD,0
AUGLA,West,2008,2008-03-27,3.418171617,FD,11.684
AUGLA,West,2008,2008-03-28,4.57872391,FD,14.478
AUGLA,West,2008,2008-03-29,0.804758675,FD,0
AUGLA,West,2008,2008-03-30,0.430793732,FD,3.048
AUGLA,West,2008,2008-03-31,0.363573585,FD,0
AUGLA,West,2008,2008-04-01,0.414977667,FD,4.064
AUGLA,West,2008,2008-04-02,0.294689614,FD,0
AUGLA,West,2008,2008-04-03,0.223043477,FD,0.762
AUGLA,West,2008,2008-04-04,3.404656675,FD,17.526
AUGLA,West,2008,2008-04-05,1.242996041,FD,0
AUGLA,West,2008,2008-04-06,0.571005694,FD,0
AUGLA,West,2008,2008-04-07,0.376557022,FD,0
AUGLA,West,2008,2008-04-08,0.238899098,FD,0
AUGLA,West,2008,2008-04-09,0.195173423,FD,3.048
AUGLA,West,2008,2008-04-10,0.171817941,FD,0.508
AUGLA,West,2008,2008-04-11,1.753198676,FD,16.256
AUGLA,West,2008,2008-04-12,0.691594102,FD,2.032
AUGLA,West,2008,2008-04-13,0.485672676,FD,3.81
AUGLA,West,2008,2008-04-14,0.480570286,FD,0
AUGLA,West,2008,2008-04-15,0.325604774,FD,0
AUGLA,West,2008,2008-04-16,0.256012962,FD,0
AUGLA,West,2008,2008-04-17,0.185307183,FD,0
AUGLA,West,2008,2008-04-18,0.164786212,FD,0
AUGLA,West,2008,2008-04-19,0.135050567,FD,3.302
AUGLA,West,2008,2008-04-20,0.134325606,FD,0.762
AUGLA,West,2008,2008-04-21,0.102415263,FD,0
AUGLA,West,2008,2008-04-22,0.103769343,FD,0
AUGLA,West,2008,2008-04-23,0.083553248,FD,0
AUGLA,West,2008,2008-04-24,0.088603941,FD,0
AUGLA,West,2008,2008-04-25,0.084524845,FD,0.508
AUGLA,West,2008,2008-04-26,0.086856813,FD,3.302
AUGLA,West,2008,2008-04-27,0.084708981,FD,0
AUGLA,West,2008,2008-04-28,0.091067811,FD,7.112
AUGLA,West,2008,2008-04-29,0.526299461,FD,10.16
AUGLA,West,2008,2008-04-30,0.331264886,FD,0
AUGLA,West,2008,2008-05-01,0.23170574,FD,0
AUGLA,West,2008,2008-05-02,0.271509151,FD,9.144
AUGLA,West,2008,2008-05-03,0.682056858,FD,6.604
AUGLA,West,2008,2008-05-04,0.45369009,FD,0
AUGLA,West,2008,2008-05-05,0.276257178,FD,0
AUGLA,West,2008,2008-05-06,0.208066158,FD,0
AUGLA,West,2008,2008-05-07,0.191250019,FD,12.7
AUGLA,West,2008,2008-05-08,6.749261942,FD,44.704
AUGLA,West,2008,2008-05-09,6.924984201,FD,3.81
AUGLA,West,2008,2008-05-10,5.871504211,FD,0.254
AUGLA,West,2008,2008-05-11,4.080464922,FD,28.194
AUGLA,West,2008,2008-05-12,6.83498452,FD,0.254
AUGLA,West,2008,2008-05-13,1.219614661,FD,0.254
AUGLA,West,2008,2008-05-14,0.691664152,FD,8.636
AUGLA,West,2008,2008-05-15,0.857642915,FD,0
AUGLA,West,2008,2008-05-16,0.519540928,FD,3.048
AUGLA,West,2008,2008-05-17,0.349591074,FD,0.762
AUGLA,West,2008,2008-05-18,0.58181629,FD,9.398
AUGLA,West,2008,2008-05-19,0.403544026,FD,0
AUGLA,West,2008,2008-05-20,0.281594786,FD,0
AUGLA,West,2008,2008-05-21,0.204100568,FD,0
AUGLA,West,2008,2008-05-22,0.157689224,FD,0
AUGLA,West,2008,2008-05-23,0.132845287,FD,0
AUGLA,West,2008,2008-05-24,0.110903116,FD,0
AUGLA,West,2008,2008-05-25,0.106222284,FD,0
AUGLA,West,2008,2008-05-26,0.098276846,FD,0.508
AUGLA,West,2008,2008-05-27,0.105126814,FD,0
AUGLA,West,2008,2008-05-28,0.078662692,FD,0
AUGLA,West,2008,2008-05-29,0.069254811,FD,0
AUGLA,West,2008,2008-05-30,0.075164557,FD,3.302
AUGLA,West,2008,2008-05-31,3.83596568,FD,25.908
AUGLA,West,2008,2008-06-01,0.532360623,FD,0
AUGLA,West,2008,2008-06-02,0.296563233,FD,1.27
AUGLA,West,2008,2008-06-03,2.268565883,FD,16.764
AUGLA,West,2008,2008-06-04,6.472942151,FD,28.194
AUGLA,West,2008,2008-06-05,6.851806459,FD,0
AUGLA,West,2008,2008-06-06,1.623109961,FD,1.27
AUGLA,West,2008,2008-06-07,0.34968793,FD,0
AUGLA,West,2008,2008-06-08,0.208177452,FD,0
AUGLA,West,2008,2008-06-09,0.234977336,FD,15.748
AUGLA,West,2008,2008-06-10,5.610425677,FD,12.192
AUGLA,West,2008,2008-06-11,0.814565353,FD,0
AUGLA,West,2008,2008-06-12,0.324867512,FD,0
AUGLA,West,2008,2008-06-13,0.21537848,FD,7.112
AUGLA,West,2008,2008-06-14,2.495113837,FD,8.636
AUGLA,West,2008,2008-06-15,0.438080948,FD,4.064
AUGLA,West,2008,2008-06-16,0.278514646,FD,0.254
AUGLA,West,2008,2008-06-17,0.195230159,FD,0
AUGLA,West,2008,2008-06-18,0.112463945,FD,0
AUGLA,West,2008,2008-06-19,0.004503202,FD,0
AUGLA,West,2008,2008-06-20,0.002545711,FD,0
AUGLA,West,2008,2008-06-21,0.005163318,FD,9.144
AUGLA,West,2008,2008-06-22,0.003607209,FD,0.254
AUGLA,West,2008,2008-06-23,0.004191139,FD,0
AUGLA,West,2008,2008-06-24,9.35e-4,FD,0
AUGLA,West,2008,2008-06-25,0.320779643,FD,29.972
AUGLA,West,2008,2008-06-26,6.888492653,FD,9.652
AUGLA,West,2008,2008-06-27,2.800198702,FD,1.27
AUGLA,West,2008,2008-06-28,2.697095255,FD,26.67
AUGLA,West,2008,2008-06-29,6.914415862,FD,2.794
AUGLA,West,2008,2008-06-30,2.128315913,FD,0
AUGLA,West,2008,2008-07-01,0.022206024,FD,0
AUGLA,West,2008,2008-07-02,0.0121009,FD,0.762
AUGLA,West,2008,2008-07-03,0.010274201,FD,12.192
AUGLA,West,2008,2008-07-04,0.01952354,FD,0.508
AUGLA,West,2008,2008-07-05,0.008876638,FD,0
AUGLA,West,2008,2008-07-06,0.002077057,FD,0
AUGLA,West,2008,2008-07-07,0.00388404,FD,0
AUGLA,West,2008,2008-07-08,1.161606082,FD,23.622
AUGLA,West,2008,2008-07-09,6.904648154,FD,23.876
AUGLA,West,2008,2008-07-10,5.983867182,FD,0
AUGLA,West,2008,2008-07-11,0.151774282,FD,0
AUGLA,West,2008,2008-07-12,0.025622324,FD,6.604
AUGLA,West,2008,2008-07-13,5.120826286,FD,27.432
AUGLA,West,2008,2008-07-14,3.782884895,FD,0
AUGLA,West,2008,2008-07-15,0.035511173,FD,0
AUGLA,West,2008,2008-07-16,0.011573123,FD,0
AUGLA,West,2008,2008-07-17,0.003390776,FD,0
AUGLA,West,2008,2008-07-18,0.003372814,FD,0
AUGLA,West,2008,2008-07-19,6.87e-4,FD,0
AUGLA,West,2008,2008-07-20,0,FD,0.254
AUGLA,West,2008,2008-07-21,2.43e-4,FD,0
AUGLA,West,2008,2008-07-22,2.42e-4,FD,4.826
AUGLA,West,2008,2008-07-23,0.369430798,FD,0
AUGLA,West,2008,2008-07-24,0.772421785,FD,0
AUGLA,West,2008,2008-07-25,0.651824641,FD,0
AUGLA,West,2008,2008-07-26,0.621113961,FD,0
AUGLA,West,2008,2008-07-27,0.579881201,FD,0
AUGLA,West,2008,2008-07-28,0.553093545,FD,0
AUGLA,West,2008,2008-07-29,0.499637265,FD,0
AUGLA,West,2008,2008-07-30,0.485829614,FD,0
AUGLA,West,2008,2008-07-31,0.449433861,FD,0
AUGLA,West,2008,2008-08-01,0.423809723,FD,0
AUGLA,West,2008,2008-08-02,0.409517181,FD,0
AUGLA,West,2008,2008-08-03,0.398615765,FD,0
AUGLA,West,2008,2008-08-04,0.374346073,FD,3.556
AUGLA,West,2008,2008-08-05,0.388870364,FD,15.748
AUGLA,West,2008,2008-08-06,0.364422394,FD,0
AUGLA,West,2008,2008-08-07,0.394701357,FD,0
AUGLA,West,2008,2008-08-08,0.367708808,FD,0
AUGLA,West,2008,2008-08-09,0.330093902,FD,0
AUGLA,West,2008,2008-08-10,0.321411334,FD,0.254
AUGLA,West,2008,2008-08-11,0.295668845,FD,0
AUGLA,West,2008,2008-08-12,0.275113975,FD,0
AUGLA,West,2008,2008-08-13,0.273319245,FD,0
AUGLA,West,2008,2008-08-14,0.273013841,FD,0
AUGLA,West,2008,2008-08-15,0.209825614,FD,0
AUGLA,West,2008,2008-08-16,0.094246067,FD,0
AUGLA,West,2008,2008-08-17,0.033940166,FD,0
AUGLA,West,2008,2008-08-18,0.00399621,FD,0
AUGLA,West,2008,2008-08-19,0,FD,0
AUGLA,West,2008,2008-08-20,0,FD,0
AUGLA,West,2008,2008-08-21,0,FD,0
AUGLA,West,2008,2008-08-22,0,FD,0
AUGLA,West,2008,2008-08-23,0,FD,0
AUGLA,West,2008,2008-08-24,0,FD,0
AUGLA,West,2008,2008-08-25,0,FD,0
AUGLA,West,2008,2008-08-26,0,FD,0.254
AUGLA,West,2008,2008-08-27,0,FD,0
AUGLA,West,2008,2008-08-28,0,FD,0
AUGLA,West,2008,2008-08-29,0,FD,0
AUGLA,West,2008,2008-08-30,0,FD,0
AUGLA,West,2008,2008-08-31,0,FD,0
AUGLA,West,2008,2008-09-01,0,FD,0
AUGLA,West,2008,2008-09-02,0,FD,0
AUGLA,West,2008,2008-09-03,0,FD,0
AUGLA,West,2008,2008-09-04,0,FD,0
AUGLA,West,2008,2008-09-05,0,FD,10.668
AUGLA,West,2008,2008-09-06,0,FD,0
AUGLA,West,2008,2008-09-07,0,FD,0
AUGLA,West,2008,2008-09-08,0,FD,0
AUGLA,West,2008,2008-09-09,0,FD,15.494
AUGLA,West,2008,2008-09-10,0,FD,0
AUGLA,West,2008,2008-09-11,0,FD,0.254
AUGLA,West,2008,2008-09-12,0,FD,13.462
AUGLA,West,2008,2008-09-13,0,FD,2.032
AUGLA,West,2008,2008-09-14,0,FD,7.112
AUGLA,West,2008,2008-09-15,0,FD,0
AUGLA,West,2008,2008-09-16,0,FD,0
AUGLA,West,2008,2008-09-17,0,FD,0
AUGLA,West,2008,2008-09-18,0,FD,0
AUGLA,West,2008,2008-09-19,0,FD,0
AUGLA,West,2008,2008-09-20,0,FD,0
AUGLA,West,2008,2008-09-21,0,FD,0
AUGLA,West,2008,2008-09-22,0,FD,0
AUGLA,West,2008,2008-09-23,0,FD,0.254
AUGLA,West,2008,2008-09-24,0,FD,0
AUGLA,West,2008,2008-09-25,0,FD,0
AUGLA,West,2008,2008-09-26,0,FD,0
AUGLA,West,2008,2008-09-27,0,FD,0
AUGLA,West,2008,2008-09-28,0,FD,0.254
AUGLA,West,2008,2008-09-29,0,FD,3.81
AUGLA,West,2008,2008-09-30,0,FD,1.016
AUGLA,West,2008,2008-10-01,0,FD,0
AUGLA,West,2008,2008-10-02,0,FD,0
AUGLA,West,2008,2008-10-03,0,FD,0.762
AUGLA,West,2008,2008-10-04,0,FD,0
AUGLA,West,2008,2008-10-05,0,FD,0
AUGLA,West,2008,2008-10-06,0,FD,0
AUGLA,West,2008,2008-10-07,0,FD,0
AUGLA,West,2008,2008-10-08,0,FD,7.112
AUGLA,West,2008,2008-10-09,0,FD,0.254
AUGLA,West,2008,2008-10-10,0,FD,0
AUGLA,West,2008,2008-10-11,0,FD,0
AUGLA,West,2008,2008-10-12,0,FD,0
AUGLA,West,2008,2008-10-13,0,FD,0
AUGLA,West,2008,2008-10-14,0,FD,0
AUGLA,West,2008,2008-10-15,0,FD,5.08
AUGLA,West,2008,2008-10-16,0,FD,6.858
AUGLA,West,2008,2008-10-17,0,FD,0
AUGLA,West,2008,2008-10-18,0,FD,0
AUGLA,West,2008,2008-10-19,0,FD,0
AUGLA,West,2008,2008-10-20,0,FD,0.508
AUGLA,West,2008,2008-10-21,0,FD,0
AUGLA,West,2008,2008-10-22,0,FD,0
AUGLA,West,2008,2008-10-23,0,FD,0
AUGLA,West,2008,2008-10-24,0,FD,14.224
AUGLA,West,2008,2008-10-25,0,FD,0.254
AUGLA,West,2008,2008-10-26,0,FD,0
AUGLA,West,2008,2008-10-27,0,FD,1.778
AUGLA,West,2008,2008-10-28,0,FD,0.254
AUGLA,West,2008,2008-10-29,0,FD,0
AUGLA,West,2008,2008-10-30,0,FD,0
AUGLA,West,2008,2008-10-31,0,FD,0
AUGLA,West,2008,2008-11-01,0,FD,0
AUGLA,West,2008,2008-11-02,0,FD,0
AUGLA,West,2008,2008-11-03,0,FD,0
AUGLA,West,2008,2008-11-04,0,FD,0
AUGLA,West,2008,2008-11-05,0,FD,0
AUGLA,West,2008,2008-11-06,0,FD,0
AUGLA,West,2008,2008-11-07,0,FD,0
AUGLA,West,2008,2008-11-08,0,FD,0.254
AUGLA,West,2008,2008-11-09,0,FD,0
AUGLA,West,2008,2008-11-10,0,FD,0
AUGLA,West,2008,2008-11-11,0,FD,0
AUGLA,West,2008,2008-11-12,0,FD,7.366
AUGLA,West,2008,2008-11-13,0,FD,4.826
AUGLA,West,2008,2008-11-14,0,FD,6.858
AUGLA,West,2008,2008-11-15,0,FD,24.638
AUGLA,West,2008,2008-11-16,0,FD,0
AUGLA,West,2008,2008-11-17,0,FD,0.762
AUGLA,West,2008,2008-11-18,0,FD,0
AUGLA,West,2008,2008-11-19,0,FD,0
AUGLA,West,2008,2008-11-20,0,FD,0
AUGLA,West,2008,2008-11-21,0,FD,0
AUGLA,West,2008,2008-11-22,0,FD,0
AUGLA,West,2008,2008-11-23,0,FD,0
AUGLA,West,2008,2008-11-24,0,FD,3.81
AUGLA,West,2008,2008-11-25,0,FD,0.254
AUGLA,West,2008,2008-11-26,0,FD,0
AUGLA,West,2008,2008-11-27,0,FD,0
AUGLA,West,2008,2008-11-28,0,FD,0
AUGLA,West,2008,2008-11-29,0,FD,0
AUGLA,West,2008,2008-11-30,0,FD,10.16
AUGLA,West,2008,2008-12-01,0,FD,0.762
AUGLA,West,2008,2008-12-02,0,FD,0
AUGLA,West,2008,2008-12-03,0,FD,1.524
AUGLA,West,2008,2008-12-04,0,FD,0.254
AUGLA,West,2008,2008-12-05,0,FD,0
AUGLA,West,2008,2008-12-06,0,FD,0
AUGLA,West,2008,2008-12-07,0,FD,0
AUGLA,West,2008,2008-12-08,0,FD,0
AUGLA,West,2008,2008-12-09,0.007006338,FD,23.114
AUGLA,West,2008,2008-12-10,0.048278343,FD,6.35
AUGLA,West,2008,2008-12-11,0.001368755,FD,0
AUGLA,West,2008,2008-12-12,0,FD,0
AUGLA,West,2008,2008-12-13,0,FD,0.254
AUGLA,West,2008,2008-12-14,0,FD,2.54
AUGLA,West,2008,2008-12-15,1.73e-4,FD,3.81
AUGLA,West,2008,2008-12-16,0,FD,0
AUGLA,West,2008,2008-12-17,0,FD,0
AUGLA,West,2008,2008-12-18,0,FD,0
AUGLA,West,2008,2008-12-19,0.590588349,FD,31.242
AUGLA,West,2008,2008-12-20,0.151632869,FD,0
AUGLA,West,2008,2008-12-21,0.029196167,FD,0
AUGLA,West,2008,2008-12-22,0.001941039,FD,0
AUGLA,West,2008,2008-12-23,0.002431271,FD,0
AUGLA,West,2008,2008-12-24,3.366738087,FD,19.304
AUGLA,West,2008,2008-12-25,1.162523953,FD,0
AUGLA,West,2008,2008-12-26,0.736726073,FD,8.382
AUGLA,West,2008,2008-12-27,6.545640812,FD,0
AUGLA,West,2008,2008-12-28,6.295485378,FD,7.112
AUGLA,West,2008,2008-12-29,2.097554899,FD,0
AUGLA,West,2008,2008-12-30,1.070626763,FD,0
AUGLA,West,2008,2008-12-31,0.630644597,FD,0
AUGLA,West,2009,2009-01-01,0.443007387,FD,0
AUGLA,West,2009,2009-01-02,0.373685399,FD,0
AUGLA,West,2009,2009-01-03,0.261274933,FD,0
AUGLA,West,2009,2009-01-04,0.233960286,FD,0.508
AUGLA,West,2009,2009-01-05,0.16832829,FD,0
AUGLA,West,2009,2009-01-06,0.177141566,FD,0
AUGLA,West,2009,2009-01-07,0.187704679,FD,0
AUGLA,West,2009,2009-01-08,0.082706837,FD,0
AUGLA,West,2009,2009-01-09,0.077039252,FD,0
AUGLA,West,2009,2009-01-10,0.095999169,FD,0
AUGLA,West,2009,2009-01-11,0.048220302,FD,0.254
AUGLA,West,2009,2009-01-12,0.044860353,FD,0.254
AUGLA,West,2009,2009-01-13,0.064369419,FD,0
AUGLA,West,2009,2009-01-14,0.03511089,FD,0
AUGLA,West,2009,2009-01-15,0.008284947,FD,0
AUGLA,West,2009,2009-01-16,0.00325597,FD,0
AUGLA,West,2009,2009-01-17,0.057065956,FD,0
AUGLA,West,2009,2009-01-18,0.04463602,FD,0
AUGLA,West,2009,2009-01-19,0.021415403,FD,0
AUGLA,West,2009,2009-01-20,0.007571424,FD,0
AUGLA,West,2009,2009-01-21,0.005223594,FD,0
AUGLA,West,2009,2009-01-22,0.019649178,FD,0.254
AUGLA,West,2009,2009-01-23,0.024466597,FD,1.016
AUGLA,West,2009,2009-01-24,0.003013645,FD,0
AUGLA,West,2009,2009-01-25,1.61e-4,FD,0
AUGLA,West,2009,2009-01-26,4.77e-4,FD,0
AUGLA,West,2009,2009-01-27,0.001866062,FD,0
AUGLA,West,2009,2009-01-28,0.013760206,FD,0
AUGLA,West,2009,2009-01-29,0.004373913,FD,0
AUGLA,West,2009,2009-01-30,0.001205722,FD,0
AUGLA,West,2009,2009-01-31,0.007029772,FD,0
AUGLA,West,2009,2009-02-01,0.014924544,FD,0.254
AUGLA,West,2009,2009-02-02,0.001866496,FD,0
AUGLA,West,2009,2009-02-03,1.48e-4,FD,0
AUGLA,West,2009,2009-02-04,0,FD,0
AUGLA,West,2009,2009-02-05,0,FD,0
AUGLA,West,2009,2009-02-06,8.12e-4,FD,0
AUGLA,West,2009,2009-02-07,2.486038063,FD,0
AUGLA,West,2009,2009-02-08,6.909371882,FD,0
AUGLA,West,2009,2009-02-09,6.93707374,FD,0.254
AUGLA,West,2009,2009-02-10,6.965736356,FD,4.064
AUGLA,West,2009,2009-02-11,6.882310529,FD,39.624
AUGLA,West,2009,2009-02-12,6.920260473,FD,1.778
AUGLA,West,2009,2009-02-13,6.248790037,FD,0
AUGLA,West,2009,2009-02-14,3.015534772,FD,0.254
AUGLA,West,2009,2009-02-15,1.305528297,FD,0
AUGLA,West,2009,2009-02-16,0.879072485,FD,0
AUGLA,West,2009,2009-02-17,0.751838541,FD,0
AUGLA,West,2009,2009-02-18,0.732999474,FD,3.556
AUGLA,West,2009,2009-02-19,0.468711954,FD,0
AUGLA,West,2009,2009-02-20,0.411015037,FD,0
AUGLA,West,2009,2009-02-21,0.400743251,FD,0.762
AUGLA,West,2009,2009-02-22,0.255850793,FD,0
AUGLA,West,2009,2009-02-23,0.192395349,FD,0
AUGLA,West,2009,2009-02-24,0.191773797,FD,0
AUGLA,West,2009,2009-02-25,0.300529629,FD,0
AUGLA,West,2009,2009-02-26,0.660716426,FD,2.54
AUGLA,West,2009,2009-02-27,5.639350392,FD,11.43
AUGLA,West,2009,2009-02-28,2.323530224,FD,0
AUGLA,West,2009,2009-03-01,1.133526565,FD,0
AUGLA,West,2009,2009-03-02,0.69099714,FD,0
AUGLA,West,2009,2009-03-03,0.580926193,FD,0
AUGLA,West,2009,2009-03-04,0.475092017,FD,0
AUGLA,West,2009,2009-03-05,0.474138617,FD,0
AUGLA,West,2009,2009-03-06,0.39664355,FD,0
AUGLA,West,2009,2009-03-07,0.352288393,FD,0.508
AUGLA,West,2009,2009-03-08,4.908967036,FD,20.32
AUGLA,West,2009,2009-03-09,3.067684594,FD,0
AUGLA,West,2009,2009-03-10,2.622690081,FD,6.604
AUGLA,West,2009,2009-03-11,2.433512743,FD,4.318
AUGLA,West,2009,2009-03-12,1.189718693,FD,0
AUGLA,West,2009,2009-03-13,0.873933598,FD,0
AUGLA,West,2009,2009-03-14,0.703523889,FD,0
AUGLA,West,2009,2009-03-15,0.619339067,FD,0
AUGLA,West,2009,2009-03-16,0.471132313,FD,0
AUGLA,West,2009,2009-03-17,0.362088378,FD,0
AUGLA,West,2009,2009-03-18,0.364699611,FD,4.064
AUGLA,West,2009,2009-03-19,0.29652416,FD,0
AUGLA,West,2009,2009-03-20,0.209991006,FD,0
AUGLA,West,2009,2009-03-21,0.214569064,FD,0
AUGLA,West,2009,2009-03-22,0.206246577,FD,0
AUGLA,West,2009,2009-03-23,0.203716273,FD,0
AUGLA,West,2009,2009-03-24,0.216176966,FD,0
AUGLA,West,2009,2009-03-25,0.244416531,FD,7.874
AUGLA,West,2009,2009-03-26,0.170607721,FD,0.254
AUGLA,West,2009,2009-03-27,0.164919381,FD,0
AUGLA,West,2009,2009-03-28,0.213105593,FD,0
AUGLA,West,2009,2009-03-29,0.195977615,FD,8.128
AUGLA,West,2009,2009-03-30,0.121508014,FD,0
AUGLA,West,2009,2009-03-31,0.144277237,FD,0.254
AUGLA,West,2009,2009-04-01,0.144549091,FD,1.016
AUGLA,West,2009,2009-04-02,0.161911484,FD,0.762
AUGLA,West,2009,2009-04-03,0.934650706,FD,14.224
AUGLA,West,2009,2009-04-04,0.852025439,FD,0
AUGLA,West,2009,2009-04-05,1.12030707,FD,17.272
AUGLA,West,2009,2009-04-06,6.187813303,FD,5.334
AUGLA,West,2009,2009-04-07,2.800160794,FD,0
AUGLA,West,2009,2009-04-08,1.4184022570000001,FD,0
AUGLA,West,2009,2009-04-09,0.993270977,FD,0
AUGLA,West,2009,2009-04-10,0.779893724,FD,8.636
AUGLA,West,2009,2009-04-11,0.634207739,FD,0
AUGLA,West,2009,2009-04-12,0.5718185,FD,0
AUGLA,West,2009,2009-04-13,1.649671362,FD,22.86
AUGLA,West,2009,2009-04-14,6.428878572,FD,2.794
AUGLA,West,2009,2009-04-15,3.685355636,FD,0.508
AUGLA,West,2009,2009-04-16,1.6419107,FD,0
AUGLA,West,2009,2009-04-17,1.169385798,FD,0
AUGLA,West,2009,2009-04-18,0.822777778,FD,0
AUGLA,West,2009,2009-04-19,0.811669076,FD,11.176
AUGLA,West,2009,2009-04-20,3.037983339,FD,4.318
AUGLA,West,2009,2009-04-21,2.05067535,FD,3.048
AUGLA,West,2009,2009-04-22,1.242293723,FD,0.762
AUGLA,West,2009,2009-04-23,0.951172992,FD,0
AUGLA,West,2009,2009-04-24,0.771046499,FD,0
AUGLA,West,2009,2009-04-25,0.637586269,FD,0
AUGLA,West,2009,2009-04-26,0.52244627,FD,0
AUGLA,West,2009,2009-04-27,0.441755725,FD,0
AUGLA,West,2009,2009-04-28,0.396861751,FD,8.89
AUGLA,West,2009,2009-04-29,0.379010787,FD,0
AUGLA,West,2009,2009-04-30,0.425696061,FD,8.89
AUGLA,West,2009,2009-05-01,6.613393227,FD,27.94
AUGLA,West,2009,2009-05-02,5.378564049,FD,0
AUGLA,West,2009,2009-05-03,1.735026922,FD,0
AUGLA,West,2009,2009-05-04,0.974137698,FD,0
AUGLA,West,2009,2009-05-05,0.719070622,FD,0
AUGLA,West,2009,2009-05-06,0.602406463,FD,7.366
AUGLA,West,2009,2009-05-07,0.46147485,FD,2.286
AUGLA,West,2009,2009-05-08,1.803479766,FD,12.954
AUGLA,West,2009,2009-05-09,2.195612374,FD,0.508
AUGLA,West,2009,2009-05-10,1.187688062,FD,0
AUGLA,West,2009,2009-05-11,0.834241633,FD,0
AUGLA,West,2009,2009-05-12,0.649452398,FD,0
AUGLA,West,2009,2009-05-13,0.57626325,FD,7.62
AUGLA,West,2009,2009-05-14,3.0324428,FD,14.224
AUGLA,West,2009,2009-05-15,1.648675093,FD,0
