siteid,plotid,dwm,year,date,flow
DPAC,NE,FD,2006,2006-05-15,NA
DPAC,NE,FD,2006,2006-05-16,NA
DPAC,NE,FD,2006,2006-05-17,NA
DPAC,NE,FD,2006,2006-05-18,NA
DPAC,NE,FD,2006,2006-05-19,NA
DPAC,NE,FD,2006,2006-05-20,NA
DPAC,NE,FD,2006,2006-05-21,NA
DPAC,NE,FD,2006,2006-05-22,NA
DPAC,NE,FD,2006,2006-05-23,NA
DPAC,NE,FD,2006,2006-05-24,NA
DPAC,NE,FD,2006,2006-05-25,NA
DPAC,NE,FD,2006,2006-05-26,NA
DPAC,NE,FD,2006,2006-05-27,NA
DPAC,NE,FD,2006,2006-05-28,NA
DPAC,NE,FD,2006,2006-05-29,NA
DPAC,NE,FD,2006,2006-05-30,NA
DPAC,NE,FD,2006,2006-05-31,NA
DPAC,NE,FD,2006,2006-06-01,NA
DPAC,NE,FD,2006,2006-06-02,NA
DPAC,NE,FD,2006,2006-06-03,NA
DPAC,NE,FD,2006,2006-06-04,NA
DPAC,NE,FD,2006,2006-06-05,NA
DPAC,NE,FD,2006,2006-06-06,NA
DPAC,NE,FD,2006,2006-06-07,NA
DPAC,NE,FD,2006,2006-06-08,NA
DPAC,NE,FD,2006,2006-06-09,NA
DPAC,NE,FD,2006,2006-06-10,NA
DPAC,NE,FD,2006,2006-06-11,NA
DPAC,NE,FD,2006,2006-06-12,NA
DPAC,NE,FD,2006,2006-06-13,NA
DPAC,NE,FD,2006,2006-06-14,NA
DPAC,NE,FD,2006,2006-06-15,NA
DPAC,NE,FD,2006,2006-06-16,0.6776
DPAC,NE,FD,2006,2006-06-17,0.6776
DPAC,NE,FD,2006,2006-06-18,0.6969
DPAC,NE,FD,2006,2006-06-19,1.0179
DPAC,NE,FD,2006,2006-06-20,0.8432
DPAC,NE,FD,2006,2006-06-21,5.8385
DPAC,NE,FD,2006,2006-06-22,3.7715
DPAC,NE,FD,2006,2006-06-23,4.3259
DPAC,NE,FD,2006,2006-06-24,1.2363
DPAC,NE,FD,2006,2006-06-25,0.8413
DPAC,NE,FD,2006,2006-06-26,0.7293
DPAC,NE,FD,2006,2006-06-27,0.7135
DPAC,NE,FD,2006,2006-06-28,2.1514
DPAC,NE,FD,2006,2006-06-29,5.4535
DPAC,NE,FD,2006,2006-06-30,1.1646
DPAC,NE,FD,2006,2006-07-01,0.7824
DPAC,NE,FD,2006,2006-07-02,0.6877
DPAC,NE,FD,2006,2006-07-03,3.8478
DPAC,NE,FD,2006,2006-07-04,1.1197
DPAC,NE,FD,2006,2006-07-05,0.7912
DPAC,NE,FD,2006,2006-07-06,0.6529
DPAC,NE,FD,2006,2006-07-07,0.6125
DPAC,NE,FD,2006,2006-07-08,0.6058
DPAC,NE,FD,2006,2006-07-09,0.5968
DPAC,NE,FD,2006,2006-07-10,0.5878
DPAC,NE,FD,2006,2006-07-11,0.5644
DPAC,NE,FD,2006,2006-07-12,0.5297
DPAC,NE,FD,2006,2006-07-13,0.4071
DPAC,NE,FD,2006,2006-07-14,0.2729
DPAC,NE,FD,2006,2006-07-15,0.1249
DPAC,NE,FD,2006,2006-07-16,0.0677
DPAC,NE,FD,2006,2006-07-17,0.016
DPAC,NE,FD,2006,2006-07-18,0
DPAC,NE,FD,2006,2006-07-19,0
DPAC,NE,FD,2006,2006-07-20,0
DPAC,NE,FD,2006,2006-07-21,0
DPAC,NE,FD,2006,2006-07-22,0
DPAC,NE,FD,2006,2006-07-23,0
DPAC,NE,FD,2006,2006-07-24,0
DPAC,NE,FD,2006,2006-07-25,0
DPAC,NE,FD,2006,2006-07-26,0
DPAC,NE,FD,2006,2006-07-27,0
DPAC,NE,FD,2006,2006-07-28,0
DPAC,NE,FD,2006,2006-07-29,0
DPAC,NE,FD,2006,2006-07-30,0
DPAC,NE,FD,2006,2006-07-31,0
DPAC,NE,FD,2006,2006-08-01,0
DPAC,NE,FD,2006,2006-08-02,0
DPAC,NE,FD,2006,2006-08-03,0
DPAC,NE,FD,2006,2006-08-04,0
DPAC,NE,FD,2006,2006-08-05,0
DPAC,NE,FD,2006,2006-08-06,0
DPAC,NE,FD,2006,2006-08-07,0
DPAC,NE,FD,2006,2006-08-08,0
DPAC,NE,FD,2006,2006-08-09,0
DPAC,NE,FD,2006,2006-08-10,0
DPAC,NE,FD,2006,2006-08-11,0
DPAC,NE,FD,2006,2006-08-12,0
DPAC,NE,FD,2006,2006-08-13,0
DPAC,NE,FD,2006,2006-08-14,0
DPAC,NE,FD,2006,2006-08-15,0
DPAC,NE,FD,2006,2006-08-16,0
DPAC,NE,FD,2006,2006-08-17,0
DPAC,NE,FD,2006,2006-08-18,0
DPAC,NE,FD,2006,2006-08-19,0
DPAC,NE,FD,2006,2006-08-20,0
DPAC,NE,FD,2006,2006-08-21,0
DPAC,NE,FD,2006,2006-08-22,0
DPAC,NE,FD,2006,2006-08-23,0
DPAC,NE,FD,2006,2006-08-24,0
DPAC,NE,FD,2006,2006-08-25,0
DPAC,NE,FD,2006,2006-08-26,0
DPAC,NE,FD,2006,2006-08-27,0.1537
DPAC,NE,FD,2006,2006-08-28,0
DPAC,NE,FD,2006,2006-08-29,5e-4
DPAC,NE,FD,2006,2006-08-30,0
DPAC,NE,FD,2006,2006-08-31,0
DPAC,NE,FD,2006,2006-09-01,0
DPAC,NE,FD,2006,2006-09-02,0
DPAC,NE,FD,2006,2006-09-03,0
DPAC,NE,FD,2006,2006-09-04,0
DPAC,NE,FD,2006,2006-09-05,0
DPAC,NE,FD,2006,2006-09-06,0
DPAC,NE,FD,2006,2006-09-07,0
DPAC,NE,FD,2006,2006-09-08,0
DPAC,NE,FD,2006,2006-09-09,0
DPAC,NE,FD,2006,2006-09-10,0
DPAC,NE,FD,2006,2006-09-11,0
DPAC,NE,FD,2006,2006-09-12,0
DPAC,NE,FD,2006,2006-09-13,0
DPAC,NE,FD,2006,2006-09-14,0
DPAC,NE,FD,2006,2006-09-15,0
DPAC,NE,FD,2006,2006-09-16,0
DPAC,NE,FD,2006,2006-09-17,0
DPAC,NE,FD,2006,2006-09-18,0
DPAC,NE,FD,2006,2006-09-19,0
DPAC,NE,FD,2006,2006-09-20,0
DPAC,NE,FD,2006,2006-09-21,0
DPAC,NE,FD,2006,2006-09-22,0
DPAC,NE,FD,2006,2006-09-23,0
DPAC,NE,FD,2006,2006-09-24,0
DPAC,NE,FD,2006,2006-09-25,0
DPAC,NE,FD,2006,2006-09-26,0
DPAC,NE,FD,2006,2006-09-27,0
DPAC,NE,FD,2006,2006-09-28,0
DPAC,NE,FD,2006,2006-09-29,0
DPAC,NE,FD,2006,2006-09-30,0
DPAC,NE,FD,2006,2006-10-01,0
DPAC,NE,FD,2006,2006-10-02,0
DPAC,NE,FD,2006,2006-10-03,0
DPAC,NE,FD,2006,2006-10-04,0
DPAC,NE,FD,2006,2006-10-05,2.5092
DPAC,NE,FD,2006,2006-10-06,0.9347
DPAC,NE,FD,2006,2006-10-07,0.7125
DPAC,NE,FD,2006,2006-10-08,0.5689
DPAC,NE,FD,2006,2006-10-09,0.3672
DPAC,NE,FD,2006,2006-10-10,0.1605
DPAC,NE,FD,2006,2006-10-11,0.2067
DPAC,NE,FD,2006,2006-10-12,0.5051
DPAC,NE,FD,2006,2006-10-13,0.4772
DPAC,NE,FD,2006,2006-10-14,0.2653
DPAC,NE,FD,2006,2006-10-15,0.0666
DPAC,NE,FD,2006,2006-10-16,0.1669
DPAC,NE,FD,2006,2006-10-17,12.6119
DPAC,NE,FD,2006,2006-10-18,8.5605
DPAC,NE,FD,2006,2006-10-19,2.6754
DPAC,NE,FD,2006,2006-10-20,3.0295
DPAC,NE,FD,2006,2006-10-21,1.0273
DPAC,NE,FD,2006,2006-10-22,0.7836
DPAC,NE,FD,2006,2006-10-23,0.746
DPAC,NE,FD,2006,2006-10-24,0.6259
DPAC,NE,FD,2006,2006-10-25,0.5912
DPAC,NE,FD,2006,2006-10-26,0.5834
DPAC,NE,FD,2006,2006-10-27,5.6834
DPAC,NE,FD,2006,2006-10-28,9.6484
DPAC,NE,FD,2006,2006-10-29,2.4861
DPAC,NE,FD,2006,2006-10-30,0.9806
DPAC,NE,FD,2006,2006-10-31,0.7914
DPAC,NE,FD,2006,2006-11-01,0.7553
DPAC,NE,FD,2006,2006-11-02,0.699
DPAC,NE,FD,2006,2006-11-03,0.6383
DPAC,NE,FD,2006,2006-11-04,0.6114
DPAC,NE,FD,2006,2006-11-05,0.6035
DPAC,NE,FD,2006,2006-11-06,0.599
DPAC,NE,FD,2006,2006-11-07,0.7251
DPAC,NE,FD,2006,2006-11-08,0.8129
DPAC,NE,FD,2006,2006-11-09,0.7271
DPAC,NE,FD,2006,2006-11-10,0.6832
DPAC,NE,FD,2006,2006-11-11,0.804
DPAC,NE,FD,2006,2006-11-12,0.8095
DPAC,NE,FD,2006,2006-11-13,0.7564
DPAC,NE,FD,2006,2006-11-14,0.7248
DPAC,NE,FD,2006,2006-11-15,0.7712
DPAC,NE,FD,2006,2006-11-16,11.0562
DPAC,NE,FD,2006,2006-11-17,8.8573
DPAC,NE,FD,2006,2006-11-18,2.7331
DPAC,NE,FD,2006,2006-11-19,1.011
DPAC,NE,FD,2006,2006-11-20,0.8429
DPAC,NE,FD,2006,2006-11-21,0.7102
DPAC,NE,FD,2006,2006-11-22,0.6798
DPAC,NE,FD,2006,2006-11-23,0.6473
DPAC,NE,FD,2006,2006-11-24,0.6327
DPAC,NE,FD,2006,2006-11-25,0.6158
DPAC,NE,FD,2006,2006-11-26,0.599
DPAC,NE,FD,2006,2006-11-27,0.5923
DPAC,NE,FD,2006,2006-11-28,0.5979
DPAC,NE,FD,2006,2006-11-29,0.5912
DPAC,NE,FD,2006,2006-11-30,2.91
DPAC,NE,FD,2006,2006-12-01,12.7282
DPAC,NE,FD,2006,2006-12-02,8.3799
DPAC,NE,FD,2006,2006-12-03,3.611
DPAC,NE,FD,2006,2006-12-04,1.0698
DPAC,NE,FD,2006,2006-12-05,0.7835
DPAC,NE,FD,2006,2006-12-06,0.7316
DPAC,NE,FD,2006,2006-12-07,0.6293
DPAC,NE,FD,2006,2006-12-08,0.6069
DPAC,NE,FD,2006,2006-12-09,0.6114
DPAC,NE,FD,2006,2006-12-10,0.5979
DPAC,NE,FD,2006,2006-12-11,0.6069
DPAC,NE,FD,2006,2006-12-12,0.7685
DPAC,NE,FD,2006,2006-12-13,2.6951
DPAC,NE,FD,2006,2006-12-14,1.0179
DPAC,NE,FD,2006,2006-12-15,0.7926
DPAC,NE,FD,2006,2006-12-16,0.7091
DPAC,NE,FD,2006,2006-12-17,0.6675
DPAC,NE,FD,2006,2006-12-18,1.3221
DPAC,NE,FD,2006,2006-12-19,0.9162
DPAC,NE,FD,2006,2006-12-20,0.7779
DPAC,NE,FD,2006,2006-12-21,4.3515
DPAC,NE,FD,2006,2006-12-22,10.4623
DPAC,NE,FD,2006,2006-12-23,5.5637
DPAC,NE,FD,2006,2006-12-24,1.3637
DPAC,NE,FD,2006,2006-12-25,1.5646
DPAC,NE,FD,2006,2006-12-26,7.6871
DPAC,NE,FD,2006,2006-12-27,5.1851
DPAC,NE,FD,2006,2006-12-28,1.3789
DPAC,NE,FD,2006,2006-12-29,0.9253
DPAC,NE,FD,2006,2006-12-30,0.814
DPAC,NE,FD,2006,2006-12-31,7.4614
DPAC,NE,FD,2007,2007-01-01,11.2222
DPAC,NE,FD,2007,2007-01-02,5.8349
DPAC,NE,FD,2007,2007-01-03,1.533
DPAC,NE,FD,2007,2007-01-04,0.9891
DPAC,NE,FD,2007,2007-01-05,4.6629
DPAC,NE,FD,2007,2007-01-06,11.6643
DPAC,NE,FD,2007,2007-01-07,7.7101
DPAC,NE,FD,2007,2007-01-08,4.8487
DPAC,NE,FD,2007,2007-01-09,1.3326
DPAC,NE,FD,2007,2007-01-10,0.9173
DPAC,NE,FD,2007,2007-01-11,0.8152
DPAC,NE,FD,2007,2007-01-12,0.7361
DPAC,NE,FD,2007,2007-01-13,10.5905
DPAC,NE,FD,2007,2007-01-14,11.8656
DPAC,NE,FD,2007,2007-01-15,13.1169
DPAC,NE,FD,2007,2007-01-16,9.3975
DPAC,NE,FD,2007,2007-01-17,4.9218
DPAC,NE,FD,2007,2007-01-18,2.5777
DPAC,NE,FD,2007,2007-01-19,1.35
DPAC,NE,FD,2007,2007-01-20,0.707
DPAC,NE,FD,2007,2007-01-21,0.7068
DPAC,NE,FD,2007,2007-01-22,0.681
DPAC,NE,FD,2007,2007-01-23,0.6439
DPAC,NE,FD,2007,2007-01-24,0.6776
DPAC,NE,FD,2007,2007-01-25,0.6832
DPAC,NE,FD,2007,2007-01-26,0.654
DPAC,NE,FD,2007,2007-01-27,0.6372
DPAC,NE,FD,2007,2007-01-28,0.6237
DPAC,NE,FD,2007,2007-01-29,0.6304
DPAC,NE,FD,2007,2007-01-30,0.654
DPAC,NE,FD,2007,2007-01-31,0.6226
DPAC,NE,FD,2007,2007-02-01,0.5834
DPAC,NE,FD,2007,2007-02-02,0.5677
DPAC,NE,FD,2007,2007-02-03,0.4917
DPAC,NE,FD,2007,2007-02-04,0.5454
DPAC,NE,FD,2007,2007-02-05,0.5375
DPAC,NE,FD,2007,2007-02-06,0.6359
DPAC,NE,FD,2007,2007-02-07,0.5163
DPAC,NE,FD,2007,2007-02-08,0.4973
DPAC,NE,FD,2007,2007-02-09,0.4227
DPAC,NE,FD,2007,2007-02-10,0.4205
DPAC,NE,FD,2007,2007-02-11,0.4929
DPAC,NE,FD,2007,2007-02-12,0.4283
DPAC,NE,FD,2007,2007-02-13,0.2519
DPAC,NE,FD,2007,2007-02-14,0.211
DPAC,NE,FD,2007,2007-02-15,0.3694
DPAC,NE,FD,2007,2007-02-16,0.2365
DPAC,NE,FD,2007,2007-02-17,0.1305
DPAC,NE,FD,2007,2007-02-18,0.2652
DPAC,NE,FD,2007,2007-02-19,0.1647
DPAC,NE,FD,2007,2007-02-20,0.0863
DPAC,NE,FD,2007,2007-02-21,0.0452
DPAC,NE,FD,2007,2007-02-22,0.0237
DPAC,NE,FD,2007,2007-02-23,0.0149
DPAC,NE,FD,2007,2007-02-24,0.0754
DPAC,NE,FD,2007,2007-02-25,0.6773
DPAC,NE,FD,2007,2007-02-26,3.2856
DPAC,NE,FD,2007,2007-02-27,3.4626
DPAC,NE,FD,2007,2007-02-28,3.0031
DPAC,NE,FD,2007,2007-03-01,4.8603
DPAC,NE,FD,2007,2007-03-02,8.7395
DPAC,NE,FD,2007,2007-03-03,6.635
DPAC,NE,FD,2007,2007-03-04,2.444
DPAC,NE,FD,2007,2007-03-05,0.9494
DPAC,NE,FD,2007,2007-03-06,0.8348
DPAC,NE,FD,2007,2007-03-07,0.7068
DPAC,NE,FD,2007,2007-03-08,0.6562
DPAC,NE,FD,2007,2007-03-09,0.654
DPAC,NE,FD,2007,2007-03-10,0.8301
DPAC,NE,FD,2007,2007-03-11,0.7915
DPAC,NE,FD,2007,2007-03-12,3.4936
DPAC,NE,FD,2007,2007-03-13,0.7948
DPAC,NE,FD,2007,2007-03-14,0.9114
DPAC,NE,FD,2007,2007-03-15,11.8541
DPAC,NE,FD,2007,2007-03-16,9.4391
DPAC,NE,FD,2007,2007-03-17,3.4868
DPAC,NE,FD,2007,2007-03-18,1.1039
DPAC,NE,FD,2007,2007-03-19,4.7164
DPAC,NE,FD,2007,2007-03-20,5.102
DPAC,NE,FD,2007,2007-03-21,1.3276
DPAC,NE,FD,2007,2007-03-22,1.0267
DPAC,NE,FD,2007,2007-03-23,11.8883
DPAC,NE,FD,2007,2007-03-24,12.6603
DPAC,NE,FD,2007,2007-03-25,8.7793
DPAC,NE,FD,2007,2007-03-26,2.93
DPAC,NE,FD,2007,2007-03-27,1.1488
DPAC,NE,FD,2007,2007-03-28,0.8809
DPAC,NE,FD,2007,2007-03-29,0.7677
DPAC,NE,FD,2007,2007-03-30,0.7339
DPAC,NE,FD,2007,2007-03-31,0.7271
DPAC,NE,FD,2007,2007-04-01,0.8085
DPAC,NE,FD,2007,2007-04-02,1.2399
DPAC,NE,FD,2007,2007-04-03,1.3718
DPAC,NE,FD,2007,2007-04-04,1.2159
DPAC,NE,FD,2007,2007-04-05,0.9877
DPAC,NE,FD,2007,2007-04-06,1.1968
DPAC,NE,FD,2007,2007-04-07,1.1612
DPAC,NE,FD,2007,2007-04-08,0.8997
DPAC,NE,FD,2007,2007-04-09,0.8226
DPAC,NE,FD,2007,2007-04-10,0.8607
DPAC,NE,FD,2007,2007-04-11,3.9074
DPAC,NE,FD,2007,2007-04-12,10.1568
DPAC,NE,FD,2007,2007-04-13,5.0599
DPAC,NE,FD,2007,2007-04-14,1.4802
DPAC,NE,FD,2007,2007-04-15,1.7365
DPAC,NE,FD,2007,2007-04-16,0.8651
DPAC,NE,FD,2007,2007-04-17,0.431
DPAC,NE,FD,2007,2007-04-18,0.2147
DPAC,NE,FD,2007,2007-04-19,0.107
DPAC,NE,FD,2007,2007-04-20,0.0533
DPAC,NE,FD,2007,2007-04-21,0.681
DPAC,NE,FD,2007,2007-04-22,0.6663
DPAC,NE,FD,2007,2007-04-23,0.6596
DPAC,NE,FD,2007,2007-04-24,0.6405
DPAC,NE,FD,2007,2007-04-25,0.7305
DPAC,NE,FD,2007,2007-04-26,6.5719
DPAC,NE,FD,2007,2007-04-27,11.1936
DPAC,NE,FD,2007,2007-04-28,6.2778
DPAC,NE,FD,2007,2007-04-29,1.4512
DPAC,NE,FD,2007,2007-04-30,0.9538
DPAC,NE,FD,2007,2007-05-01,0.8174
DPAC,NE,FD,2007,2007-05-02,0.7418
DPAC,NE,FD,2007,2007-05-03,0.7181
DPAC,NE,FD,2007,2007-05-04,0.6978
DPAC,NE,FD,2007,2007-05-05,0.6697
DPAC,NE,FD,2007,2007-05-06,0.6315
DPAC,NE,FD,2007,2007-05-07,0.6338
DPAC,NE,FD,2007,2007-05-08,0.6304
DPAC,NE,FD,2007,2007-05-09,0.6282
DPAC,NE,FD,2007,2007-05-10,0.6226
DPAC,NE,FD,2007,2007-05-11,0.6091
DPAC,NE,FD,2007,2007-05-12,0.6472
DPAC,NE,FD,2007,2007-05-13,0.5945
DPAC,NE,FD,2007,2007-05-14,0.608
DPAC,NE,FD,2007,2007-05-15,0.6416
DPAC,NE,FD,2007,2007-05-16,0.5889
DPAC,NE,FD,2007,2007-05-17,0.5565
DPAC,NE,FD,2007,2007-05-18,0.5476
DPAC,NE,FD,2007,2007-05-19,0.5677
DPAC,NE,FD,2007,2007-05-20,0.5733
DPAC,NE,FD,2007,2007-05-21,0.5453
DPAC,NE,FD,2007,2007-05-22,0.5319
DPAC,NE,FD,2007,2007-05-23,0.5274
DPAC,NE,FD,2007,2007-05-24,0.551
DPAC,NE,FD,2007,2007-05-25,0.5643
DPAC,NE,FD,2007,2007-05-26,0.5923
DPAC,NE,FD,2007,2007-05-27,0.5889
DPAC,NE,FD,2007,2007-05-28,0.5699
DPAC,NE,FD,2007,2007-05-29,0.5587
DPAC,NE,FD,2007,2007-05-30,0.5621
DPAC,NE,FD,2007,2007-05-31,0.5632
DPAC,NE,FD,2007,2007-06-01,0.6013
DPAC,NE,FD,2007,2007-06-02,0.5811
DPAC,NE,FD,2007,2007-06-03,0.599
DPAC,NE,FD,2007,2007-06-04,0.5923
DPAC,NE,FD,2007,2007-06-05,0.533
DPAC,NE,FD,2007,2007-06-06,0.1624
DPAC,NE,FD,2007,2007-06-07,0.3036
DPAC,NE,FD,2007,2007-06-08,0.3469
DPAC,NE,FD,2007,2007-06-09,0.1728
DPAC,NE,FD,2007,2007-06-10,0.0861
DPAC,NE,FD,2007,2007-06-11,0.0429
DPAC,NE,FD,2007,2007-06-12,0.0214
DPAC,NE,FD,2007,2007-06-13,0.0106
DPAC,NE,FD,2007,2007-06-14,0.0053
DPAC,NE,FD,2007,2007-06-15,0.0026
DPAC,NE,FD,2007,2007-06-16,0.2431
DPAC,NE,FD,2007,2007-06-17,0.1477
DPAC,NE,FD,2007,2007-06-18,0.0798
DPAC,NE,FD,2007,2007-06-19,0.0435
DPAC,NE,FD,2007,2007-06-20,0.0058
DPAC,NE,FD,2007,2007-06-21,0.0038
DPAC,NE,FD,2007,2007-06-22,3e-4
DPAC,NE,FD,2007,2007-06-23,0
DPAC,NE,FD,2007,2007-06-24,0.003
DPAC,NE,FD,2007,2007-06-25,0
DPAC,NE,FD,2007,2007-06-26,0
DPAC,NE,FD,2007,2007-06-27,0
DPAC,NE,FD,2007,2007-06-28,0
DPAC,NE,FD,2007,2007-06-29,0
DPAC,NE,FD,2007,2007-06-30,0
DPAC,NE,FD,2007,2007-07-01,0
DPAC,NE,FD,2007,2007-07-02,0
DPAC,NE,FD,2007,2007-07-03,0
DPAC,NE,FD,2007,2007-07-04,0
DPAC,NE,FD,2007,2007-07-05,0
DPAC,NE,FD,2007,2007-07-06,0
DPAC,NE,FD,2007,2007-07-07,0
DPAC,NE,FD,2007,2007-07-08,0
DPAC,NE,FD,2007,2007-07-09,0
DPAC,NE,FD,2007,2007-07-10,0
DPAC,NE,FD,2007,2007-07-11,0
DPAC,NE,FD,2007,2007-07-12,0
DPAC,NE,FD,2007,2007-07-13,0
DPAC,NE,FD,2007,2007-07-14,0
DPAC,NE,FD,2007,2007-07-15,0
DPAC,NE,FD,2007,2007-07-16,0
